Feed_inefficiency,Protein_efficiency,Animal_mortality,Fertilizer_use,Land_use,Soy_use,Permanent_grassland,Grazing,Manure_biogas,Renewable_electricity_use,Carbon_footprint
0.765,35.200,2.562,55.105,2.475,0.400,0.570,54.083,0,1,0.825
0.709,37.567,3.632,113.857,1.058,0.451,0.669,14.384,1,1,0.744
0.846,37.200,1.782,82.786,0.836,0.577,0.532,49.159,1,0,0.746
0.720,33.753,1.720,192.435,0.887,0.415,0.886,25.905,1,1,0.789
0.898,37.470,0.000,163.447,0.721,4.617,0.604,60.016,0,1,0.805
0.794,32.886,2.040,49.829,1.516,1.375,1.217,34.690,0,1,0.828
0.783,34.796,3.033,115.894,0.805,1.574,0.776,10.242,1,1,0.773
0.801,35.791,1.835,63.455,1.388,0.450,0.859,24.187,0,1,0.819
0.714,29.994,1.330,182.944,0.690,0.717,0.882,0.084,1,1,0.790
0.712,35.836,8.633,203.868,0.681,0.449,0.983,0.967,1,1,0.774
0.781,36.181,1.672,135.161,0.787,6.532,1.566,9.060,1,1,0.781
0.751,37.643,5.252,65.308,1.703,0.506,0.312,7.366,0,1,0.827
0.727,37.947,1.079,221.697,0.833,3.152,2.632,0.869,1,1,0.797
0.856,32.570,2.284,228.634,0.854,2.389,0.440,67.183,1,1,0.829
0.751,25.338,2.073,118.541,0.650,0.416,2.027,1.463,1,1,0.797
0.809,31.920,2.585,47.242,2.688,1.045,1.028,43.487,0,1,0.882
0.842,36.935,2.629,55.829,1.449,1.862,1.576,18.906,0,1,0.833
0.758,31.978,6.183,109.149,1.011,0.408,0.601,12.844,1,1,0.802
0.924,34.726,6.961,62.051,1.442,0.410,1.103,50.904,0,1,0.873
0.707,31.383,1.505,109.146,1.269,5.433,1.971,47.104,0,1,0.856
0.728,27.349,1.062,163.072,0.942,0.526,0.809,30.145,1,1,0.836
0.797,36.709,2.111,60.732,2.981,1.206,0.526,10.820,0,1,0.909
0.703,37.404,6.307,111.997,1.594,0.646,0.439,12.966,0,1,0.852
0.779,34.237,1.828,101.519,1.220,12.833,1.390,20.082,1,1,0.823
0.764,36.088,1.640,135.500,0.744,0.429,2.588,2.689,0,1,0.815
0.733,34.817,3.996,243.668,0.711,4.761,1.318,22.033,1,0,0.815
0.768,36.072,2.188,166.035,1.034,0.822,0.661,4.506,1,1,0.820
0.809,36.492,6.053,76.320,1.881,0.450,1.442,26.160,0,1,0.873
0.853,35.174,2.356,104.739,0.953,0.401,2.805,27.968,0,1,0.841
0.714,36.083,3.710,313.828,0.616,8.918,0.937,4.703,1,0,0.819
0.709,36.476,2.806,176.019,1.066,1.870,1.020,15.710,1,0,0.815
0.749,35.070,6.465,63.620,1.947,0.412,0.879,41.592,0,0,0.857
0.762,36.780,4.513,282.150,0.655,1.821,0.592,0.576,1,1,0.812
0.739,34.359,3.895,338.927,0.701,0.400,0.180,11.125,1,1,0.833
0.756,30.131,3.389,196.218,0.755,1.013,1.401,5.552,1,1,0.823
0.731,38.451,2.197,154.046,1.109,2.109,0.733,9.517,0,1,0.841
0.755,36.312,3.999,209.916,1.050,0.403,0.543,43.261,0,1,0.863
0.727,38.245,4.028,115.406,0.619,0.730,1.407,3.547,0,0,0.786
1.010,32.873,5.068,63.814,1.168,0.480,0.564,56.739,0,1,0.888
0.722,36.368,2.645,140.453,1.060,3.399,0.115,6.117,1,0,0.808
0.750,36.290,3.233,124.149,1.359,1.806,1.269,20.371,0,1,0.861
0.842,30.729,2.813,151.380,0.685,3.378,0.625,42.888,0,1,0.860
0.888,33.251,13.405,102.887,0.959,1.318,1.247,67.294,0,1,0.894
0.707,33.370,4.722,276.332,0.710,0.501,0.746,19.479,0,1,0.854
0.741,27.503,1.103,164.982,0.945,1.138,0.333,14.643,1,1,0.843
0.736,33.942,1.592,279.033,0.660,14.926,1.043,1.709,1,1,0.832
0.887,38.079,2.743,69.507,1.611,6.113,0.794,6.425,1,1,0.842
0.874,31.244,3.678,238.377,0.774,2.333,1.771,52.309,1,1,0.853
0.969,34.258,10.312,44.808,2.492,3.290,0.988,39.762,1,1,0.900
0.753,34.048,3.987,80.230,2.041,0.973,0.151,20.462,0,1,0.885
0.744,35.473,2.979,123.518,1.113,4.253,0.252,12.651,0,1,0.849
0.753,31.497,2.441,229.898,0.681,0.417,0.225,19.523,1,0,0.832
0.709,33.654,2.923,138.502,1.164,1.637,0.156,17.977,1,0,0.827
0.714,34.075,2.974,304.330,0.625,3.995,0.673,26.359,0,0,0.859
0.791,35.692,2.964,283.988,0.621,0.456,1.502,19.903,0,1,0.848
0.856,34.897,0.492,174.472,1.105,0.424,0.810,26.083,1,1,0.852
0.758,33.501,2.526,206.922,0.664,0.639,1.053,33.348,0,0,0.849
0.700,27.099,2.554,102.736,0.797,4.612,1.132,6.395,0,1,0.848
0.792,25.685,2.016,132.870,0.683,4.886,0.646,54.366,0,1,0.886
0.749,30.260,6.729,216.680,0.988,0.400,0.256,44.438,1,1,0.866
0.786,38.128,8.935,158.338,0.751,0.402,1.233,7.861,1,0,0.799
0.740,32.514,2.157,234.332,0.691,1.879,1.170,42.327,0,0,0.862
0.755,35.455,1.956,152.962,0.895,0.725,1.111,0.435,1,0,0.814
0.863,33.454,1.952,75.785,2.512,4.766,1.592,62.914,0,1,0.922
0.758,28.168,4.158,62.910,0.872,1.473,0.857,0.582,0,1,0.838
0.734,31.085,3.517,270.303,0.715,0.901,0.321,31.247,0,1,0.871
0.755,34.495,2.846,175.571,0.689,5.240,0.923,4.071,0,1,0.841
0.763,36.457,2.426,115.556,1.312,3.218,0.264,10.486,0,1,0.862
0.795,32.498,2.190,170.228,0.948,2.030,1.912,6.454,1,1,0.841
0.971,30.192,1.776,63.961,1.928,0.444,0.767,66.922,0,1,0.921
0.778,31.962,2.187,184.545,0.954,0.883,0.266,6.836,1,1,0.845
0.789,34.601,3.105,83.357,2.088,0.525,0.381,21.934,0,1,0.899
0.705,37.956,5.852,208.078,0.924,0.461,0.387,2.340,0,1,0.851
0.760,37.518,3.160,194.609,1.056,0.400,1.099,21.280,0,1,0.867
0.726,38.328,9.790,385.929,0.632,5.981,1.118,2.252,1,0,0.845
0.792,34.322,2.595,68.582,1.920,0.603,0.379,4.696,0,1,0.882
0.912,32.956,4.234,63.135,1.528,0.549,1.093,33.705,0,1,0.889
0.777,35.680,3.500,107.657,1.345,8.840,0.888,0.262,1,1,0.840
0.711,34.366,3.718,115.446,1.421,0.434,0.364,4.146,0,1,0.867
0.821,38.223,8.619,136.141,0.713,7.650,0.332,0.960,1,1,0.807
0.920,32.911,4.272,55.155,1.771,0.402,0.697,6.880,1,1,0.863
0.830,35.809,3.237,138.705,0.797,0.440,0.172,11.875,0,1,0.847
0.773,29.475,8.205,75.714,1.462,0.410,1.529,0.264,1,1,0.841
0.723,34.817,3.470,189.472,0.926,0.868,0.569,34.544,0,0,0.861
0.737,32.975,5.946,204.107,0.980,0.413,0.205,71.850,0,0,0.888
